,MAD_rt,SD_rt,block,mean_rt,median_rt,occurence,participant_id,response_time,switchtrial_rt1,switchtrial_rt2,switchtrial_rt3,type
"('adrian_pilot', 1.0, 'TrialDigitSpan', 1.0)",0.1787784612499932,0.21830654765427013,,1.5189031437499994,1.549547600000004,,,1.8170275700000005,1.8170275700000005,1.2952532800000045,1.6393177499999965,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 1.0)",0.1787784612499932,0.21830654765427013,,1.5189031437499994,1.549547600000004,,,1.2952532800000045,1.8170275700000005,1.2952532800000045,1.6393177499999965,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 1.0)",0.1787784612499932,0.21830654765427013,,1.5189031437499994,1.549547600000004,,,1.6393177499999965,1.8170275700000005,1.2952532800000045,1.6393177499999965,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 1.0)",0.1787784612499932,0.21830654765427013,,1.5189031437499994,1.549547600000004,,,1.2309551200000044,1.8170275700000005,1.2952532800000045,1.6393177499999965,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 1.0)",0.1787784612499932,0.21830654765427013,,1.5189031437499994,1.549547600000004,,,1.31978273,1.8170275700000005,1.2952532800000045,1.6393177499999965,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 1.0)",0.1787784612499932,0.21830654765427013,,1.5189031437499994,1.549547600000004,,,1.5145076000000157,1.8170275700000005,1.2952532800000045,1.6393177499999965,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 1.0)",0.1787784612499932,0.21830654765427013,,1.5189031437499994,1.549547600000004,,,1.7497934999999811,1.8170275700000005,1.2952532800000045,1.6393177499999965,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 1.0)",0.1787784612499932,0.21830654765427013,,1.5189031437499994,1.549547600000004,,,1.584587599999992,1.8170275700000005,1.2952532800000045,1.6393177499999965,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 2.0)",0.19344961481481782,0.24132599280791195,,1.5867755555555807,1.6237385000000015,,,1.3993389999999408,1.3993389999999408,1.6237385000000015,1.5946924000000993,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 2.0)",0.19344961481481782,0.24132599280791195,,1.5867755555555807,1.6237385000000015,,,1.6237385000000015,1.3993389999999408,1.6237385000000015,1.5946924000000993,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 2.0)",0.19344961481481782,0.24132599280791195,,1.5867755555555807,1.6237385000000015,,,1.5946924000000993,1.3993389999999408,1.6237385000000015,1.5946924000000993,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 2.0)",0.19344961481481782,0.24132599280791195,,1.5867755555555807,1.6237385000000015,,,1.6826310000000149,1.3993389999999408,1.6237385000000015,1.5946924000000993,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 2.0)",0.19344961481481782,0.24132599280791195,,1.5867755555555807,1.6237385000000015,,,1.3077283000000648,1.3993389999999408,1.6237385000000015,1.5946924000000993,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 2.0)",0.19344961481481782,0.24132599280791195,,1.5867755555555807,1.6237385000000015,,,1.860451000000069,1.3993389999999408,1.6237385000000015,1.5946924000000993,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 2.0)",0.19344961481481782,0.24132599280791195,,1.5867755555555807,1.6237385000000015,,,1.8226856999999652,1.3993389999999408,1.6237385000000015,1.5946924000000993,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 2.0)",0.19344961481481782,0.24132599280791195,,1.5867755555555807,1.6237385000000015,,,1.1827361000000565,1.3993389999999408,1.6237385000000015,1.5946924000000993,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 2.0)",0.19344961481481782,0.24132599280791195,,1.5867755555555807,1.6237385000000015,,,1.8069780000000149,1.3993389999999408,1.6237385000000015,1.5946924000000993,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 3.0)",0.36046921250002134,0.4654830248827627,,1.6706895124999903,1.6546346999999741,,,1.090886100000148,1.090886100000148,1.7567493999999897,1.2740060999998375,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 3.0)",0.36046921250002134,0.4654830248827627,,1.6706895124999903,1.6546346999999741,,,1.7567493999999897,1.090886100000148,1.7567493999999897,1.2740060999998375,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 3.0)",0.36046921250002134,0.4654830248827627,,1.6706895124999903,1.6546346999999741,,,1.2740060999998375,1.090886100000148,1.7567493999999897,1.2740060999998375,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 3.0)",0.36046921250002134,0.4654830248827627,,1.6706895124999903,1.6546346999999741,,,2.055300000000102,1.090886100000148,1.7567493999999897,1.2740060999998375,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 3.0)",0.36046921250002134,0.4654830248827627,,1.6706895124999903,1.6546346999999741,,,2.518033499999888,1.090886100000148,1.7567493999999897,1.2740060999998375,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 3.0)",0.36046921250002134,0.4654830248827627,,1.6706895124999903,1.6546346999999741,,,1.3234689999999318,1.090886100000148,1.7567493999999897,1.2740060999998375,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 3.0)",0.36046921250002134,0.4654830248827627,,1.6706895124999903,1.6546346999999741,,,1.5525199999999586,1.090886100000148,1.7567493999999897,1.2740060999998375,
"('adrian_pilot', 1.0, 'TrialDigitSpan', 3.0)",0.36046921250002134,0.4654830248827627,,1.6706895124999903,1.6546346999999741,,,1.7945520000000668,1.090886100000148,1.7567493999999897,1.2740060999998375,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 1.0)",0.21383551111109603,0.3313670899544712,,1.8595301999999885,1.8321995999999672,,,2.6453602999999646,2.6453602999999646,1.5283971000000065,1.8876562999999749,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 1.0)",0.21383551111109603,0.3313670899544712,,1.8595301999999885,1.8321995999999672,,,1.5283971000000065,2.6453602999999646,1.5283971000000065,1.8876562999999749,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 1.0)",0.21383551111109603,0.3313670899544712,,1.8595301999999885,1.8321995999999672,,,1.8876562999999749,2.6453602999999646,1.5283971000000065,1.8876562999999749,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 1.0)",0.21383551111109603,0.3313670899544712,,1.8595301999999885,1.8321995999999672,,,1.8321995999999672,2.6453602999999646,1.5283971000000065,1.8876562999999749,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 1.0)",0.21383551111109603,0.3313670899544712,,1.8595301999999885,1.8321995999999672,,,1.667024400000031,2.6453602999999646,1.5283971000000065,1.8876562999999749,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 1.0)",0.21383551111109603,0.3313670899544712,,1.8595301999999885,1.8321995999999672,,,1.7344115000000215,2.6453602999999646,1.5283971000000065,1.8876562999999749,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 1.0)",0.21383551111109603,0.3313670899544712,,1.8595301999999885,1.8321995999999672,,,2.0078337999999576,2.6453602999999646,1.5283971000000065,1.8876562999999749,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 1.0)",0.21383551111109603,0.3313670899544712,,1.8595301999999885,1.8321995999999672,,,1.846948899999944,2.6453602999999646,1.5283971000000065,1.8876562999999749,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 1.0)",0.21383551111109603,0.3313670899544712,,1.8595301999999885,1.8321995999999672,,,1.585939900000028,2.6453602999999646,1.5283971000000065,1.8876562999999749,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 2.0)",0.125257677550995,0.20066294932129655,,1.9525563857142743,1.9856705999999351,,,1.9856705999999351,1.9856705999999351,1.5520659000000023,2.2095057999999885,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 2.0)",0.125257677550995,0.20066294932129655,,1.9525563857142743,1.9856705999999351,,,1.5520659000000023,1.9856705999999351,1.5520659000000023,2.2095057999999885,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 2.0)",0.125257677550995,0.20066294932129655,,1.9525563857142743,1.9856705999999351,,,2.2095057999999885,1.9856705999999351,1.5520659000000023,2.2095057999999885,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 2.0)",0.125257677550995,0.20066294932129655,,1.9525563857142743,1.9856705999999351,,,1.9590354000000616,1.9856705999999351,1.5520659000000023,2.2095057999999885,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 2.0)",0.125257677550995,0.20066294932129655,,1.9525563857142743,1.9856705999999351,,,2.059124900000029,1.9856705999999351,1.5520659000000023,2.2095057999999885,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 2.0)",0.125257677550995,0.20066294932129655,,1.9525563857142743,1.9856705999999351,,,1.914645000000064,1.9856705999999351,1.5520659000000023,2.2095057999999885,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 2.0)",0.125257677550995,0.20066294932129655,,1.9525563857142743,1.9856705999999351,,,1.98784709999984,1.9856705999999351,1.5520659000000023,2.2095057999999885,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 3.0)",0.18297425185186303,0.2552019832873928,,1.9192487333333348,1.9553352000000357,,,1.9726495999999545,1.9726495999999545,1.7615515999999616,1.596299399999907,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 3.0)",0.18297425185186303,0.2552019832873928,,1.9192487333333348,1.9553352000000357,,,1.7615515999999616,1.9726495999999545,1.7615515999999616,1.596299399999907,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 3.0)",0.18297425185186303,0.2552019832873928,,1.9192487333333348,1.9553352000000357,,,1.596299399999907,1.9726495999999545,1.7615515999999616,1.596299399999907,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 3.0)",0.18297425185186303,0.2552019832873928,,1.9192487333333348,1.9553352000000357,,,1.9553352000000357,1.9726495999999545,1.7615515999999616,1.596299399999907,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 3.0)",0.18297425185186303,0.2552019832873928,,1.9192487333333348,1.9553352000000357,,,1.6435406000000512,1.9726495999999545,1.7615515999999616,1.596299399999907,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 3.0)",0.18297425185186303,0.2552019832873928,,1.9192487333333348,1.9553352000000357,,,1.9972712999999656,1.9726495999999545,1.7615515999999616,1.596299399999907,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 3.0)",0.18297425185186303,0.2552019832873928,,1.9192487333333348,1.9553352000000357,,,2.0397914000000132,1.9726495999999545,1.7615515999999616,1.596299399999907,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 3.0)",0.18297425185186303,0.2552019832873928,,1.9192487333333348,1.9553352000000357,,,2.4545803000000888,1.9726495999999545,1.7615515999999616,1.596299399999907,
"('adrian_pilot', 1.0, 'TrialSpatialRotation', 3.0)",0.18297425185186303,0.2552019832873928,,1.9192487333333348,1.9553352000000357,,,1.8522192000000357,1.9726495999999545,1.7615515999999616,1.596299399999907,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 1.0)",0.29875660408165505,0.3869509241408993,,2.7096440714285643,2.8842244000000505,,,2.8842244000000505,2.8842244000000505,2.624699899999996,3.0,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 1.0)",0.29875660408165505,0.3869509241408993,,2.7096440714285643,2.8842244000000505,,,2.624699899999996,2.8842244000000505,2.624699899999996,3.0,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 1.0)",0.29875660408165505,0.3869509241408993,,2.7096440714285643,2.8842244000000505,,,3.0,2.8842244000000505,2.624699899999996,3.0,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 1.0)",0.29875660408165505,0.3869509241408993,,2.7096440714285643,2.8842244000000505,,,3.0,2.8842244000000505,2.624699899999996,3.0,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 1.0)",0.29875660408165505,0.3869509241408993,,2.7096440714285643,2.8842244000000505,,,2.4997514999999453,2.8842244000000505,2.624699899999996,3.0,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 1.0)",0.29875660408165505,0.3869509241408993,,2.7096440714285643,2.8842244000000505,,,3.0,2.8842244000000505,2.624699899999996,3.0,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 1.0)",0.29875660408165505,0.3869509241408993,,2.7096440714285643,2.8842244000000505,,,1.9588326999999597,2.8842244000000505,2.624699899999996,3.0,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 2.0)",0.3631992312499613,0.44643329148497196,,1.9388112249999807,1.8689807000000087,,,2.4237563999998883,2.4237563999998883,1.900181700000076,1.642817299999933,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 2.0)",0.3631992312499613,0.44643329148497196,,1.9388112249999807,1.8689807000000087,,,1.900181700000076,2.4237563999998883,1.900181700000076,1.642817299999933,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 2.0)",0.3631992312499613,0.44643329148497196,,1.9388112249999807,1.8689807000000087,,,1.642817299999933,2.4237563999998883,1.900181700000076,1.642817299999933,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 2.0)",0.3631992312499613,0.44643329148497196,,1.9388112249999807,1.8689807000000087,,,1.8377796999999416,2.4237563999998883,1.900181700000076,1.642817299999933,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 2.0)",0.3631992312499613,0.44643329148497196,,1.9388112249999807,1.8689807000000087,,,1.239211800000021,2.4237563999998883,1.900181700000076,1.642817299999933,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 2.0)",0.3631992312499613,0.44643329148497196,,1.9388112249999807,1.8689807000000087,,,2.391163099999858,2.4237563999998883,1.900181700000076,1.642817299999933,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 2.0)",0.3631992312499613,0.44643329148497196,,1.9388112249999807,1.8689807000000087,,,1.621268700000087,2.4237563999998883,1.900181700000076,1.642817299999933,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 2.0)",0.3631992312499613,0.44643329148497196,,1.9388112249999807,1.8689807000000087,,,2.4543111000000413,2.4237563999998883,1.900181700000076,1.642817299999933,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 3.0)",0.557917906122398,0.6334011449456861,,2.096790442857111,1.752855599999975,,,1.4620816999999988,1.4620816999999988,3.0,1.6531548999998904,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 3.0)",0.557917906122398,0.6334011449456861,,2.096790442857111,1.752855599999975,,,3.0,1.4620816999999988,3.0,1.6531548999998904,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 3.0)",0.557917906122398,0.6334011449456861,,2.096790442857111,1.752855599999975,,,1.6531548999998904,1.4620816999999988,3.0,1.6531548999998904,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 3.0)",0.557917906122398,0.6334011449456861,,2.096790442857111,1.752855599999975,,,2.765325799999914,1.4620816999999988,3.0,1.6531548999998904,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 3.0)",0.557917906122398,0.6334011449456861,,2.096790442857111,1.752855599999975,,,1.752855599999975,1.4620816999999988,3.0,1.6531548999998904,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 3.0)",0.557917906122398,0.6334011449456861,,2.096790442857111,1.752855599999975,,,1.5663569000001871,1.4620816999999988,3.0,1.6531548999998904,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 3.0)",0.557917906122398,0.6334011449456861,,2.096790442857111,1.752855599999975,,,2.477758199999812,1.4620816999999988,3.0,1.6531548999998904,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 4.0)",0.24653599999999182,0.28822999846475394,,1.8552495000000135,1.8733025000000225,,,1.6614289999999985,1.6614289999999985,2.0851760000000468,1.555998000000045,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 4.0)",0.24653599999999182,0.28822999846475394,,1.8552495000000135,1.8733025000000225,,,2.0851760000000468,1.6614289999999985,2.0851760000000468,1.555998000000045,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 4.0)",0.24653599999999182,0.28822999846475394,,1.8552495000000135,1.8733025000000225,,,1.555998000000045,1.6614289999999985,2.0851760000000468,1.555998000000045,
"('adrian_pilot', 1.0, 'TrialSpatialSpan', 4.0)",0.24653599999999182,0.28822999846475394,,1.8552495000000135,1.8733025000000225,,,2.118394999999964,1.6614289999999985,2.0851760000000468,1.555998000000045,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 1.0)",0.3139436666666598,0.3815057533506537,,1.5424219999999498,1.5177989999999681,,,1.2635619999998653,1.2635619999998653,2.1095530000002327,1.3440600000001268,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 1.0)",0.3139436666666598,0.3815057533506537,,1.5424219999999498,1.5177989999999681,,,2.1095530000002327,1.2635619999998653,2.1095530000002327,1.3440600000001268,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 1.0)",0.3139436666666598,0.3815057533506537,,1.5424219999999498,1.5177989999999681,,,1.3440600000001268,1.2635619999998653,2.1095530000002327,1.3440600000001268,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 1.0)",0.3139436666666598,0.3815057533506537,,1.5424219999999498,1.5177989999999681,,,1.6915379999998097,1.2635619999998653,2.1095530000002327,1.3440600000001268,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 1.0)",0.3139436666666598,0.3815057533506537,,1.5424219999999498,1.5177989999999681,,,1.7680059999997866,1.2635619999998653,2.1095530000002327,1.3440600000001268,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 1.0)",0.3139436666666598,0.3815057533506537,,1.5424219999999498,1.5177989999999681,,,1.0778129999998782,1.2635619999998653,2.1095530000002327,1.3440600000001268,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 2.0)",0.38493491358029264,0.4911591048738232,,1.866749777777765,2.004278000000113,,,2.4798989999999317,2.4798989999999317,2.004278000000113,1.8543099999997141,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 2.0)",0.38493491358029264,0.4911591048738232,,1.866749777777765,2.004278000000113,,,2.004278000000113,2.4798989999999317,2.004278000000113,1.8543099999997141,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 2.0)",0.38493491358029264,0.4911591048738232,,1.866749777777765,2.004278000000113,,,1.8543099999997141,2.4798989999999317,2.004278000000113,1.8543099999997141,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 2.0)",0.38493491358029264,0.4911591048738232,,1.866749777777765,2.004278000000113,,,2.089435999999978,2.4798989999999317,2.004278000000113,1.8543099999997141,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 2.0)",0.38493491358029264,0.4911591048738232,,1.866749777777765,2.004278000000113,,,2.4834940000000643,2.4798989999999317,2.004278000000113,1.8543099999997141,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 2.0)",0.38493491358029264,0.4911591048738232,,1.866749777777765,2.004278000000113,,,1.1764069999999265,2.4798989999999317,2.004278000000113,1.8543099999997141,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 2.0)",0.38493491358029264,0.4911591048738232,,1.866749777777765,2.004278000000113,,,2.0088490000000547,2.4798989999999317,2.004278000000113,1.8543099999997141,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 2.0)",0.38493491358029264,0.4911591048738232,,1.866749777777765,2.004278000000113,,,1.1541839999999866,2.4798989999999317,2.004278000000113,1.8543099999997141,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 2.0)",0.38493491358029264,0.4911591048738232,,1.866749777777765,2.004278000000113,,,1.549891000000116,2.4798989999999317,2.004278000000113,1.8543099999997141,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 3.0)",0.1857696874999703,0.28653267852618003,,1.6653403750000848,1.7077130000000125,,,1.5454389999999876,1.5454389999999876,1.9944190000001072,1.6947410000000218,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 3.0)",0.1857696874999703,0.28653267852618003,,1.6653403750000848,1.7077130000000125,,,1.9944190000001072,1.5454389999999876,1.9944190000001072,1.6947410000000218,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 3.0)",0.1857696874999703,0.28653267852618003,,1.6653403750000848,1.7077130000000125,,,1.6947410000000218,1.5454389999999876,1.9944190000001072,1.6947410000000218,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 3.0)",0.1857696874999703,0.28653267852618003,,1.6653403750000848,1.7077130000000125,,,1.7573460000000978,1.5454389999999876,1.9944190000001072,1.6947410000000218,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 3.0)",0.1857696874999703,0.28653267852618003,,1.6653403750000848,1.7077130000000125,,,1.891556000000264,1.5454389999999876,1.9944190000001072,1.6947410000000218,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 3.0)",0.1857696874999703,0.28653267852618003,,1.6653403750000848,1.7077130000000125,,,1.676373999999896,1.5454389999999876,1.9944190000001072,1.6947410000000218,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 3.0)",0.1857696874999703,0.28653267852618003,,1.6653403750000848,1.7077130000000125,,,1.0421630000003006,1.5454389999999876,1.9944190000001072,1.6947410000000218,
"('adrian_pilot', 2.0, 'TrialDigitSpan', 3.0)",0.1857696874999703,0.28653267852618003,,1.6653403750000848,1.7077130000000125,,,1.7206850000000031,1.5454389999999876,1.9944190000001072,1.6947410000000218,
"('adrian_pilot', 2.0, 'TrialSpatialRotation', 1.0)",0.26619656790128915,0.3327083765652056,,2.4149228888888703,2.4947250000000167,,,2.279995999999983,2.279995999999983,2.6845659999999043,1.9094190000000708,
"('adrian_pilot', 2.0, 'TrialSpatialRotation', 1.0)",0.26619656790128915,0.3327083765652056,,2.4149228888888703,2.4947250000000167,,,2.6845659999999043,2.279995999999983,2.6845659999999043,1.9094190000000708,
"('adrian_pilot', 2.0, 'TrialSpatialRotation', 1.0)",0.26619656790128915,0.3327083765652056,,2.4149228888888703,2.4947250000000167,,,1.9094190000000708,2.279995999999983,2.6845659999999043,1.9094190000000708,
"('adrian_pilot', 2.0, 'TrialSpatialRotation', 1.0)",0.26619656790128915,0.3327083765652056,,2.4149228888888703,2.4947250000000167,,,2.703407000000197,2.279995999999983,2.6845659999999043,1.9094190000000708,
"('adrian_pilot', 2.0, 'TrialSpatialRotation', 1.0)",0.26619656790128915,0.3327083765652056,,2.4149228888888703,2.4947250000000167,,,1.9390339999997648,2.279995999999983,2.6845659999999043,1.9094190000000708,
"('adrian_pilot', 2.0, 'TrialSpatialRotation', 1.0)",0.26619656790128915,0.3327083765652056,,2.4149228888888703,2.4947250000000167,,,2.5222409999998945,2.279995999999983,2.6845659999999043,1.9094190000000708,
"('adrian_pilot', 2.0, 'TrialSpatialRotation', 1.0)",0.26619656790128915,0.3327083765652056,,2.4149228888888703,2.4947250000000167,,,2.4947250000000167,2.279995999999983,2.6845659999999043,1.9094190000000708,
"('adrian_pilot', 2.0, 'TrialSpatialRotation', 1.0)",0.26619656790128915,0.3327083765652056,,2.4149228888888703,2.4947250000000167,,,2.333357999999862,2.279995999999983,2.6845659999999043,1.9094190000000708,
"('adrian_pilot', 2.0, 'TrialSpatialRotation', 1.0)",0.26619656790128915,0.3327083765652056,,2.4149228888888703,2.4947250000000167,,,2.86756000000014,2.279995999999983,2.6845659999999043,1.9094190000000708,
"('adrian_pilot', 2.0, 'TrialSpatialRotation', 2.0)",0.24651365625000204,0.30006207478189595,,2.0129888750001896,2.1263530000003357,,,1.4676530000001549,1.4676530000001549,2.0557680000001706,2.274289999999837,
"('adrian_pilot', 2.0, 'TrialSpatialRotation', 2.0)",0.24651365625000204,0.30006207478189595,,2.0129888750001896,2.1263530000003357,,,2.0557680000001706,1.4676530000001549,2.0557680000001706,2.274289999999837,
"('adrian_pilot', 2.0, 'TrialSpatialRotation', 2.0)",0.24651365625000204,0.30006207478189595,,2.0129888750001896,2.1263530000003357,,,2.274289999999837,1.4676530000001549,2.0557680000001706,2.274289999999837,
"('adrian_pilot', 2.0, 'TrialSpatialRotation', 2.0)",0.24651365625000204,0.30006207478189595,,2.0129888750001896,2.1263530000003357,,,1.8072350000002189,1.4676530000001549,2.0557680000001706,2.274289999999837,
"('adrian_pilot', 2.0, 'TrialSpatialRotation', 2.0)",0.24651365625000204,0.30006207478189595,,2.0129888750001896,2.1263530000003357,,,1.7780240000001868,1.4676530000001549,2.0557680000001706,2.274289999999837,
"('adrian_pilot', 2.0, 'TrialSpatialRotation', 2.0)",0.24651365625000204,0.30006207478189595,,2.0129888750001896,2.1263530000003357,,,2.1969380000005003,1.4676530000001549,2.0557680000001706,2.274289999999837,
"('adrian_pilot', 2.0, 'TrialSpatialRotation', 2.0)",0.24651365625000204,0.30006207478189595,,2.0129888750001896,2.1263530000003357,,,2.2013130000000274,1.4676530000001549,2.0557680000001706,2.274289999999837,
"('adrian_pilot', 2.0, 'TrialSpatialRotation', 2.0)",0.24651365625000204,0.30006207478189595,,2.0129888750001896,2.1263530000003357,,,2.3226900000004207,1.4676530000001549,2.0557680000001706,2.274289999999837,
"('adrian_pilot', 2.0, 'TrialSpatialSpan', 1.0)",0.6471308800000042,0.7771737594150319,,2.0694766000000526,2.4128430000000662,,,3.0,3.0,1.3117810000001102,1.2093449999999848,
"('adrian_pilot', 2.0, 'TrialSpatialSpan', 1.0)",0.6471308800000042,0.7771737594150319,,2.0694766000000526,2.4128430000000662,,,1.3117810000001102,3.0,1.3117810000001102,1.2093449999999848,
"('adrian_pilot', 2.0, 'TrialSpatialSpan', 1.0)",0.6471308800000042,0.7771737594150319,,2.0694766000000526,2.4128430000000662,,,1.2093449999999848,3.0,1.3117810000001102,1.2093449999999848,
"('adrian_pilot', 2.0, 'TrialSpatialSpan', 1.0)",0.6471308800000042,0.7771737594150319,,2.0694766000000526,2.4128430000000662,,,2.4128430000000662,3.0,1.3117810000001102,1.2093449999999848,
"('adrian_pilot', 2.0, 'TrialSpatialSpan', 1.0)",0.6471308800000042,0.7771737594150319,,2.0694766000000526,2.4128430000000662,,,2.4134140000001025,3.0,1.3117810000001102,1.2093449999999848,
"('adrian_pilot', 2.0, 'TrialSpatialSpan', 2.0)",0.5139122716049269,0.6103067020429119,,2.390580444444418,2.36600999999996,,,3.0,3.0,1.9874589999999444,3.0,
"('adrian_pilot', 2.0, 'TrialSpatialSpan', 2.0)",0.5139122716049269,0.6103067020429119,,2.390580444444418,2.36600999999996,,,1.9874589999999444,3.0,1.9874589999999444,3.0,
"('adrian_pilot', 2.0, 'TrialSpatialSpan', 2.0)",0.5139122716049269,0.6103067020429119,,2.390580444444418,2.36600999999996,,,3.0,3.0,1.9874589999999444,3.0,
"('adrian_pilot', 2.0, 'TrialSpatialSpan', 2.0)",0.5139122716049269,0.6103067020429119,,2.390580444444418,2.36600999999996,,,2.1116819999999734,3.0,1.9874589999999444,3.0,
"('adrian_pilot', 2.0, 'TrialSpatialSpan', 2.0)",0.5139122716049269,0.6103067020429119,,2.390580444444418,2.36600999999996,,,2.8749269999998432,3.0,1.9874589999999444,3.0,
"('adrian_pilot', 2.0, 'TrialSpatialSpan', 2.0)",0.5139122716049269,0.6103067020429119,,2.390580444444418,2.36600999999996,,,1.3634200000001329,3.0,1.9874589999999444,3.0,
"('adrian_pilot', 2.0, 'TrialSpatialSpan', 2.0)",0.5139122716049269,0.6103067020429119,,2.390580444444418,2.36600999999996,,,2.36600999999996,3.0,1.9874589999999444,3.0,
"('adrian_pilot', 2.0, 'TrialSpatialSpan', 2.0)",0.5139122716049269,0.6103067020429119,,2.390580444444418,2.36600999999996,,,3.0,3.0,1.9874589999999444,3.0,
"('adrian_pilot', 2.0, 'TrialSpatialSpan', 2.0)",0.5139122716049269,0.6103067020429119,,2.390580444444418,2.36600999999996,,,1.811725999999908,3.0,1.9874589999999444,3.0,
